date,nikkei225_close,fwd36m_state,fwd36m_loss,fwd36m_mdd,fwd36m_exec,fwd60m_state,fwd60m_loss,fwd60m_mdd,fwd60m_exec,fwd120m_state,fwd120m_loss,fwd120m_mdd,fwd120m_exec
2004-02-27,11041.92,59.43,0,-19.04,56.19,-31.46,1,-60.78,-32.85,34.41,0,-61.37,31.67
2004-03-31,11715.39,47.56,0,-19.04,47.97,-30.78,1,-61.37,-30.59,26.57,0,-61.37,26.91
2004-04-30,11761.79,47.94,0,-19.04,50.38,-24.94,1,-61.37,-23.71,21.62,0,-61.37,23.62
2004-05-31,11236.37,59.09,0,-19.04,58.24,-15.25,1,-61.37,-15.71,30.22,0,-61.37,29.53
2004-06-30,11858.87,52.95,0,-19.04,52.47,-16.03,1,-61.37,-16.29,27.85,0,-61.37,27.46
2004-07-30,11325.78,52.30,0,-19.04,53.70,-8.56,1,-61.37,-7.71,37.92,0,-61.37,39.19
2004-08-31,11081.79,49.52,0,-19.04,48.90,-5.32,1,-61.37,-5.71,39.19,0,-61.37,38.62
2004-09-30,10823.57,55.08,0,-19.04,52.80,-6.38,1,-61.37,-7.76,49.43,0,-61.37,47.23
2004-10-29,10771.42,55.39,0,-19.04,55.92,-6.84,1,-61.37,-6.52,52.38,0,-61.37,52.90
2004-11-30,10899.25,43.87,0,-19.04,45.40,-14.26,1,-61.37,-13.34,60.19,0,-61.37,61.90
2004-12-30,11488.76,33.24,0,-19.04,32.91,-8.20,1,-61.37,-8.43,51.89,0,-61.37,51.51
2005-01-31,11387.59,19.36,0,-31.15,19.40,-10.45,1,-61.37,-10.42,55.21,0,-61.37,55.25
2005-02-28,11740.60,15.86,0,-31.15,15.47,-13.75,1,-61.37,-14.04,60.11,0,-61.37,59.57
2005-03-31,11668.95,7.34,0,-35.45,6.84,-4.96,1,-61.37,-5.41,64.60,0,-61.37,63.83
2005-04-28,11008.90,25.81,0,-35.45,25.88,0.44,0,-61.37,0.50,77.31,0,-61.37,77.42
2005-05-31,11276.59,27.15,0,-35.45,26.56,-13.37,1,-61.37,-13.78,82.35,0,-61.37,81.50
2005-06-30,11584.01,16.38,0,-35.45,15.92,-19.00,1,-61.37,-19.32,74.69,0,-61.37,73.99
2005-07-29,11899.60,12.41,0,-35.45,11.97,-19.85,1,-61.37,-20.17,72.99,0,-61.37,72.31
2005-08-31,12413.60,5.31,0,-35.45,4.52,-28.92,1,-61.37,-29.45,52.18,0,-61.37,51.04
2005-09-30,13574.30,-17.05,1,-38.34,-16.75,-30.98,1,-61.37,-30.73,28.10,0,-61.37,28.56
2005-10-31,13606.50,-36.96,1,-60.78,-38.15,-32.37,1,-61.37,-33.64,40.25,0,-61.37,37.61
2005-11-30,14872.15,-42.76,1,-60.78,-43.74,-33.18,1,-61.37,-34.32,32.78,0,-61.37,30.51
2005-12-30,16111.43,-45.01,1,-60.78,-45.85,-36.51,1,-61.37,-37.48,18.14,0,-61.37,16.33
2006-01-31,16649.82,-51.99,1,-60.78,-51.49,-38.51,1,-61.37,-37.88,5.22,0,-61.37,6.30
2006-02-28,16205.43,-53.30,1,-60.78,-52.59,-34.44,1,-61.37,-33.45,-1.10,1,-61.37,0.39
2006-03-31,17059.66,-52.46,1,-61.37,-53.21,-42.82,1,-61.37,-43.72,-1.76,1,-61.37,-3.32
2006-04-28,16906.23,-47.78,1,-61.37,-47.84,-41.74,1,-61.37,-41.81,-1.42,1,-61.37,-1.53
2006-05-31,15467.33,-38.43,1,-61.37,-38.58,-37.33,1,-61.37,-37.47,11.43,0,-61.37,11.17
2006-06-30,15505.18,-35.77,1,-61.37,-36.05,-36.69,1,-61.37,-36.96,0.46,0,-61.37,0.03
2006-07-31,15456.81,-33.00,1,-61.37,-32.93,-36.38,1,-61.37,-36.32,7.20,0,-61.37,7.31
2006-08-31,16140.76,-34.99,1,-61.37,-34.97,-44.52,1,-61.37,-44.50,4.63,0,-61.37,4.67
2006-09-29,16127.58,-37.17,1,-61.37,-37.66,-46.05,1,-61.37,-46.47,2.00,0,-61.37,1.20
2006-10-31,16399.39,-38.81,1,-61.37,-38.72,-45.19,1,-61.37,-45.11,6.25,0,-61.37,6.41
2006-11-30,16274.33,-42.57,1,-61.37,-42.74,-48.17,1,-61.37,-48.32,12.50,0,-61.37,12.17
2006-12-29,17225.83,-38.78,1,-61.37,-39.23,-50.91,1,-61.37,-51.28,10.96,0,-61.37,10.15
2007-01-31,17383.42,-41.33,1,-61.37,-41.79,-49.36,1,-61.37,-49.76,9.54,0,-61.37,8.69
2007-02-28,17604.12,-42.48,1,-61.37,-41.98,-44.77,1,-61.37,-44.29,8.61,0,-61.37,9.54
2007-03-30,17287.65,-35.85,1,-61.37,-34.87,-41.67,1,-61.37,-40.78,9.38,0,-61.37,11.05
2007-04-27,17400.41,-36.45,1,-61.37,-35.99,-45.28,1,-61.37,-44.89,10.32,0,-61.37,11.12
2007-05-31,17875.75,-45.35,1,-61.37,-45.61,-52.21,1,-61.37,-52.43,9.93,0,-61.37,9.42
