cn_year,pair_type,regime,jp_year,module,S_m,valid_pairs,eligible_pairs,coverage_ratio,module_pass,n_alive,S_total,method_id,calibration_id,coverage_rule_id,metric_id,status
2011,assigned,J90,1991,DEMOGRAPHY_LABOR,-0.7373,2,2,1.0,True,5,-0.9022,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2012,assigned,J90,1997,GROWTH,-1.2166,3,3,1.0,True,5,-0.5612,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2012,assigned,J90,1997,INFLATION,-0.0774,1,1,1.0,True,5,-0.5612,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2012,assigned,J90,1997,MONEY_CREDIT,-0.2799,1,1,1.0,True,5,-0.5612,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2012,assigned,J90,1997,EXTERNAL,-0.738,2,2,1.0,True,5,-0.5612,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2012,assigned,J90,1997,DEMOGRAPHY_LABOR,-0.4938,2,2,1.0,True,5,-0.5612,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,assigned,J90,1991,GROWTH,-0.9615,3,3,1.0,True,5,-0.433,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,assigned,J90,1991,INFLATION,-0.7774,1,1,1.0,True,5,-0.433,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,assigned,J90,1991,MONEY_CREDIT,-0.0172,1,1,1.0,True,5,-0.433,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,assigned,J90,1991,EXTERNAL,-0.1331,1,2,0.5,True,5,-0.433,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,assigned,J90,1991,DEMOGRAPHY_LABOR,-0.2759,2,2,1.0,True,5,-0.433,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,J00_best,J00,2003,GROWTH,-0.9148,3,3,1.0,True,5,-0.7711,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,J00_best,J00,2003,INFLATION,-1.135,1,1,1.0,True,5,-0.7711,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,J00_best,J00,2003,MONEY_CREDIT,-0.8403,1,1,1.0,True,5,-0.7711,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,J00_best,J00,2003,EXTERNAL,-0.097,2,2,1.0,True,5,-0.7711,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2013,J00_best,J00,2003,DEMOGRAPHY_LABOR,-0.8683,2,2,1.0,True,5,-0.7711,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,assigned,J90,1992,GROWTH,-0.9296,3,3,1.0,True,5,-0.5098,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2014,assigned,J90,1992,INFLATION,-0.348,1,1,1.0,True,5,-0.5098,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
