月份,指标,值,url
2021-02,制造业PMI,50.6,PDF提取:2018-2021年12月PMI运行情况报告
2021-02,原材料库存指数,47.7,PDF提取:2018-2021年12月PMI运行情况报告
2021-02,新订单指数,51.5,PDF提取:2018-2021年12月PMI运行情况报告
2021-02,生产指数,51.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-03,从业人员指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2021-03,供应商配送时间指数,50.0,PDF提取:2018-2021年12月PMI运行情况报告
2021-03,制造业PMI,51.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-03,原材料库存指数,48.4,PDF提取:2018-2021年12月PMI运行情况报告
2021-03,新订单指数,53.6,PDF提取:2018-2021年12月PMI运行情况报告
2021-03,生产指数,53.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-04,从业人员指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2021-04,供应商配送时间指数,48.7,PDF提取:2018-2021年12月PMI运行情况报告
2021-04,制造业PMI,51.1,PDF提取:2018-2021年12月PMI运行情况报告
2021-04,原材料库存指数,48.3,PDF提取:2018-2021年12月PMI运行情况报告
2021-04,新订单指数,52.0,PDF提取:2018-2021年12月PMI运行情况报告
2021-04,生产指数,52.2,PDF提取:2018-2021年12月PMI运行情况报告
2021-05,从业人员指数,48.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-05,供应商配送时间指数,47.6,PDF提取:2018-2021年12月PMI运行情况报告
2021-05,制造业PMI,51.0,PDF提取:2018-2021年12月PMI运行情况报告
2021-05,原材料库存指数,47.7,PDF提取:2018-2021年12月PMI运行情况报告
2021-05,新订单指数,51.3,PDF提取:2018-2021年12月PMI运行情况报告
2021-05,生产指数,52.7,PDF提取:2018-2021年12月PMI运行情况报告
2021-06,从业人员指数,49.2,PDF提取:2018-2021年12月PMI运行情况报告
2021-06,供应商配送时间指数,47.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-06,制造业PMI,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-06,原材料库存指数,48.0,PDF提取:2018-2021年12月PMI运行情况报告
2021-06,新订单指数,51.5,PDF提取:2018-2021年12月PMI运行情况报告
2021-06,生产指数,51.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-07,从业人员指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2021-07,供应商配送时间指数,48.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-07,制造业PMI,50.4,PDF提取:2018-2021年12月PMI运行情况报告
2021-07,原材料库存指数,47.7,PDF提取:2018-2021年12月PMI运行情况报告
2021-07,新订单指数,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-07,生产指数,51.0,PDF提取:2018-2021年12月PMI运行情况报告
2021-08,从业人员指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
