dataset,decision_month,feature,na_reason
baseline_2008_monthly,2009-08,term_spread,
baseline_2008_monthly,2009-08,pmi_gap,
baseline_2008_monthly,2009-08,delta_pmi,
baseline_2008_monthly,2009-08,loans_12m,
baseline_2008_monthly,2009-08,val.pb,
baseline_2008_monthly,2009-08,rate.fr007_mean,
baseline_2008_monthly,2009-08,gro.ip_yoy,
baseline_2008_monthly,2009-08,gro.retail_yoy,
baseline_2008_monthly,2009-08,gro.gdp_yoy,
baseline_2008_monthly,2009-08,inf.cpi_yoy,
baseline_2008_monthly,2009-08,inf.ppi_yoy,
baseline_2008_monthly,2009-08,liq.m2_yoy,
baseline_2008_monthly,2009-09,ey,
baseline_2008_monthly,2009-09,eyg,
baseline_2008_monthly,2009-09,term_spread,
baseline_2008_monthly,2009-09,pmi_gap,
baseline_2008_monthly,2009-09,delta_pmi,
baseline_2008_monthly,2009-09,loans_12m,
baseline_2008_monthly,2009-09,val.pb,
baseline_2008_monthly,2009-09,rate.fr007_mean,
baseline_2008_monthly,2009-09,gro.ip_yoy,
baseline_2008_monthly,2009-09,gro.retail_yoy,
baseline_2008_monthly,2009-09,gro.gdp_yoy,
baseline_2008_monthly,2009-09,inf.cpi_yoy,
baseline_2008_monthly,2009-09,inf.ppi_yoy,
baseline_2008_monthly,2009-09,liq.m2_yoy,
baseline_2008_monthly,2009-10,ey,
baseline_2008_monthly,2009-10,eyg,
baseline_2008_monthly,2009-10,term_spread,
baseline_2008_monthly,2009-10,pmi_gap,
baseline_2008_monthly,2009-10,delta_pmi,
baseline_2008_monthly,2009-10,loans_12m,
baseline_2008_monthly,2009-10,val.pb,
baseline_2008_monthly,2009-10,rate.fr007_mean,
baseline_2008_monthly,2009-10,gro.ip_yoy,
baseline_2008_monthly,2009-10,gro.retail_yoy,
baseline_2008_monthly,2009-10,gro.gdp_yoy,
baseline_2008_monthly,2009-10,inf.cpi_yoy,
baseline_2008_monthly,2009-10,inf.ppi_yoy,
baseline_2008_monthly,2009-10,liq.m2_yoy,
baseline_2008_monthly,2009-11,ey,
baseline_2008_monthly,2009-11,eyg,
baseline_2008_monthly,2009-11,term_spread,
baseline_2008_monthly,2009-11,pmi_gap,
baseline_2008_monthly,2009-11,delta_pmi,
baseline_2008_monthly,2009-11,loans_12m,
baseline_2008_monthly,2009-11,val.pb,
baseline_2008_monthly,2009-11,rate.fr007_mean,
baseline_2008_monthly,2009-11,gro.ip_yoy,
baseline_2008_monthly,2009-11,gro.retail_yoy,
baseline_2008_monthly,2009-11,gro.gdp_yoy,
baseline_2008_monthly,2009-11,inf.cpi_yoy,
baseline_2008_monthly,2009-11,inf.ppi_yoy,
baseline_2008_monthly,2009-11,liq.m2_yoy,
baseline_2008_monthly,2009-12,ey,
baseline_2008_monthly,2009-12,eyg,
baseline_2008_monthly,2009-12,term_spread,
baseline_2008_monthly,2009-12,pmi_gap,
baseline_2008_monthly,2009-12,delta_pmi,
baseline_2008_monthly,2009-12,loans_12m,
baseline_2008_monthly,2009-12,val.pb,
baseline_2008_monthly,2009-12,rate.fr007_mean,
baseline_2008_monthly,2009-12,gro.ip_yoy,
baseline_2008_monthly,2009-12,gro.retail_yoy,
baseline_2008_monthly,2009-12,gro.gdp_yoy,
baseline_2008_monthly,2009-12,inf.cpi_yoy,
baseline_2008_monthly,2009-12,inf.ppi_yoy,
baseline_2008_monthly,2009-12,liq.m2_yoy,
baseline_2008_monthly,2010-01,ey,
baseline_2008_monthly,2010-01,eyg,
baseline_2008_monthly,2010-01,term_spread,
baseline_2008_monthly,2010-01,pmi_gap,
baseline_2008_monthly,2010-01,delta_pmi,
baseline_2008_monthly,2010-01,loans_12m,
baseline_2008_monthly,2010-01,val.pb,
