decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,loans_12m,val.pb,rate.fr007_mean,gro.ip_yoy,gro.retail_yoy,gro.gdp_yoy,inf.cpi_yoy,inf.ppi_yoy,liq.m2_yoy,mkt.hs300_tri,mkt.hs300_price
2014-04,2014-04-30,12.56281407035176,8.26261407035176,0.5762,0.29999999999999716,0.09999999999999432,91506.0,1.18,3.525238,8.8,12.2,7.6,2.4,-2.3022,12.1,2420.9,2158.659
2014-05,2014-05-30,12.468827930174564,8.397427930174565,0.40039999999999987,0.3999999999999986,0.10000000000000142,91328.0,1.19,3.249490,8.7,11.9,7.6,1.80138144,-2.0042,13.2,2425.42,2156.464
2014-06,2014-06-30,12.269938650306749,8.20873865030675,0.4581000000000004,0.7999999999999972,0.3999999999999986,93342.0,1.24,3.290500,8.8,12.5,7.6,2.5,-1.4464,13.4,2457.31,2165.118
2014-07,2014-07-31,11.467889908256879,7.202389908256879,0.39170000000000016,1.0,0.20000000000000284,95507.0,1.36,3.835652,9.2,12.4,7.6,2.3,-1.1086,14.7,2701.33,2350.251
2014-08,2014-08-29,11.83431952662722,7.59821952662722,0.3329000000000004,1.7000000000000028,0.7000000000000028,92362.0,1.28,3.528095,9.0,12.2,7.6,2.3,-0.8688,13.5,2690.75,2338.287
2014-09,2014-09-30,11.441647597254004,7.459247597254004,0.17070000000000007,1.1000000000000014,-0.6000000000000014,92259.0,1.33,3.293445,6.9,11.9,7.6,2.0,-1.2038,12.8,2821.67,2450.988
2014-10,2014-10-31,11.37656427758817,7.620664277588169,0.3582000000000001,1.1000000000000014,0.0,92961.0,1.3,3.088421,8.0,11.6,7.5,1.6,-1.7996,12.9,2887.77,2508.325
2014-11,2014-11-28,10.17293997965412,6.6480399796541185,0.36050000000000004,0.7999999999999972,-0.30000000000000426,93384.0,1.46,3.270000,7.7,11.5,7.5,1.60114868,-2.2428,12.6,3233.96,2808.819
2014-12,2014-12-31,7.849293563579278,4.227393563579278,0.3137000000000003,0.29999999999999716,-0.5,95665.0,1.88,4.204674,7.2,11.7,7.5,1.4,-2.6928,12.3,4068.82,3533.705
2015-01,2015-01-30,8.025682182985554,4.523782182985554,0.3466,0.10000000000000142,-0.19999999999999574,97813.0,1.84,3.980000,7.9,11.9,7.5,1.5,-3.3152,12.2,3955.35,3434.39
2015-02,2015-02-27,7.8064012490242,4.4319012490242,0.29590000000000005,-0.20000000000000284,-0.30000000000000426,99330.88398,1.87,4.618125,7.9,11.9,7.5,0.8,-4.3202,10.8,4114.8,3572.843
2015-03,2015-03-31,6.915629322268326,3.267329322268326,0.3832,-0.10000000000000142,0.10000000000000142,104319.86552,2.03,4.474227,7.9,11.9,7.5,1.4,-4.7976,12.5,4665.73,4051.204
2015-04,2015-04-30,6.031363088057902,2.6810630880579023,0.40239999999999965,0.10000000000000142,0.20000000000000284,103742.727516,2.24,2.925238,5.6,10.2,7.1,1.4,-4.5603,11.6,5474.64,4749.886
2015-05,2015-05-29,6.119951040391677,2.524551040391677,1.1497000000000002,0.10000000000000142,0.0,104042.787903,2.21,2.135790,5.9,10.0,7.1,1.5,-4.5725,10.1,5588.83,4840.829
2015-06,2015-06-30,6.207324643078834,2.6097246430788337,1.2546,0.20000000000000284,0.10000000000000142,103844.969717,2.16,2.418581,6.1,10.1,7.1,1.2,-4.607,10.8,5184.41,4472.998
2015-07,2015-07-31,7.23589001447178,3.7606900144717796,0.9045000000000001,0.20000000000000284,0.0,106291.528517,1.92,2.570870,6.8,10.6,7.1,1.4,-4.8135,11.8,4456.1,3816.699
2015-08,2015-08-31,8.554319931565441,5.229119931565441,0.7183000000000002,0.0,-0.20000000000000284,108329.997452,1.62,2.450952,6.0,10.5,7.1,1.6,-5.3692,13.3,3932.81,3366.536
2015-09,2015-09-30,8.9126559714795,5.6764559714795,0.5647000000000002,-0.29999999999999716,-0.29999999999999716,109060.917069,1.55,2.391429,6.1,10.8,7.1,2.0,-5.9227,13.3,3743.8,3202.948
2015-10,2015-10-30,8.038585209003216,4.978585209003215,0.512,-0.20000000000000284,0.09999999999999432,110906.161929,1.67,2.376111,5.7,10.9,7.0,1.59560463,-5.945,13.1,4131.55,3534.079
2015-11,2015-11-30,8.058017727639001,5.017617727639001,0.32540000000000013,-0.20000000000000284,0.0,110996.917594,1.66,2.320476,5.6,11.0,7.0,1.3,-5.9,13.5,4169.47,3566.412
2015-12,2015-12-31,7.686395080707149,4.8651950807071485,0.39769999999999994,-0.3999999999999986,-0.19999999999999574,111342.820024,1.74,2.399565,6.2,11.2,7.0,1.5,-5.9,13.7,4362.44,3731.005
2016-01,2016-01-29,9.551098376313275,6.709198376313275,0.3647,-0.29999999999999716,0.10000000000000142,112692.903255,1.39,2.410000,5.9,11.1,7.0,1.6,-5.9,13.3,3444.77,2946.09
2016-02,2016-02-29,9.746588693957115,6.896388693957115,0.43420000000000014,-0.6000000000000014,-0.30000000000000426,123355.08949500001,1.35,2.357778,5.9,11.1,7.0,1.8,-5.3,14.0,3365.43,2877.467
2016-03,2016-03-31,8.741258741258742,5.899358741258742,0.6570999999999998,-1.0,-0.3999999999999986,120023.550264,1.47,2.343478,5.9,11.1,7.0,2.3,-4.9,13.3,3763.82,3218.088
2016-04,2016-04-29,8.8339222614841,5.942622261484099,0.4529000000000001,0.20000000000000284,1.2000000000000028,123279.25006800001,1.4,2.432665,6.8,10.5,6.8,2.3,-4.3,13.4,3694.46,3156.745
2016-05,2016-05-31,8.802816901408452,5.817716901408452,0.5213000000000001,0.10000000000000142,-0.10000000000000142,120876.2424,1.4,2.406667,6.0,10.1,6.8,2.3,-3.4,12.8,3717.2,3169.56
2016-06,2016-06-30,8.795074758135446,5.953974758135446,0.35420000000000007,0.10000000000000142,0.0,121740.328274,1.42,2.393333,6.0,10.0,6.8,2.0,-2.8,11.8,3722.89,3153.921
2016-07,2016-07-29,8.547008547008547,5.770208547008547,0.41400000000000015,0.0,-0.10000000000000142,121641.876984,1.47,2.428571,6.2,10.6,6.8,1.9,-2.6,11.8,3820.43,3203.93
2016-08,2016-08-31,8.090614886731393,5.348114886731393,0.5032000000000001,-0.10000000000000142,-0.10000000000000142,120301.631206,1.5,2.460435,6.0,10.2,6.8,1.8,-1.7,10.2,3975.84,3327.794
2016-09,2016-09-30,8.29875518672199,5.572955186721991,0.4649000000000001,0.3999999999999986,0.5,120514.907795,1.46,2.498571,6.3,10.6,6.8,1.3,-0.8,11.4,3890.09,3253.285
