cn_year,jp_year,lag,s,n_mod
2012,1997,15,0.6264422992107379,4
2012,1998,14,0.540413494231647,4
2012,1999,13,0.508093591483348,4
2012,2000,12,0.45081014999992897,4
2012,2001,11,0.44402059539245703,4
2012,2002,10,0.6632196311765834,4
2013,1970,43,-0.2324254920525822,3
2013,1971,42,-0.1487812118167564,4
2013,1972,41,-0.22798672658045532,4
2013,1973,40,-0.6415973106468364,4
2013,1974,39,-1.6252479014940882,4
2013,1975,38,-0.1017717630944609,4
2013,1976,37,-0.27959685339436113,4
2013,1977,36,0.12654343151801906,4
2013,1978,35,0.2800957435439784,4
2013,1979,34,0.36306575249664125,4
2013,1980,33,0.004706107157964962,4
2013,1981,32,0.3883983356275351,4
2013,1982,31,0.5858858084351302,4
2013,1983,30,0.6654466116540865,4
2013,1984,29,0.48986842010031384,4
2013,1985,28,0.639806092854664,4
2013,1986,27,0.347679263643517,4
2013,1987,26,0.3475983477643617,4
2013,1988,25,0.4339788117187239,4
2013,1989,24,0.5292197194783027,4
2013,1990,23,0.4403961769280136,4
2013,1991,22,0.74457148517526,4
2013,1992,21,0.6889987711863825,4
2013,1993,20,0.5918857436815819,4
2013,1994,19,0.6682772089099271,4
2013,1995,18,0.7153909049506566,4
2013,1996,17,0.6581808571417957,4
2013,1997,16,0.6958306100263978,4
2013,1998,15,0.5617657788555135,4
2013,1999,14,0.536259987236299,4
2013,2000,13,0.515196675428295,4
2013,2001,12,0.43556981785340865,4
2013,2002,11,0.6834863052320093,4
2013,2003,10,0.7329505944161094,4
2014,1970,44,-0.36081184146978534,3
2014,1971,43,-0.26331049806006984,4
2014,1972,42,-0.35900535853643334,4
2014,1973,41,-0.7884738796704834,4
2014,1974,40,-1.740238088673736,4
2014,1975,39,-0.16249509059961872,4
2014,1976,38,-0.3980752748344065,4
2014,1977,37,0.008065010077973694,4
2014,1978,36,0.22498625378993012,4
2014,1979,35,0.2445873310565959,4
2014,1980,34,-0.09276481565544559,4
2014,1981,33,0.26991991418748984,4
2014,1982,32,0.5060314882860548,4
2014,1983,31,0.6004545686227408,4
2014,1984,30,0.37138999866026845,4
2014,1985,29,0.5384989455842212,4
2014,1986,28,0.4147508864375927,4
2014,1987,27,0.3936624719318027,4
2014,1988,26,0.458436956337986,4
2014,1989,25,0.4107412980382573,4
2014,1990,24,0.3219177554879682,4
2014,1991,23,0.6900090227351254,4
2014,1992,22,0.7352578098408192,4
2014,1993,21,0.7161423303214719,4
2014,1994,20,0.7941462793069393,4
2014,1995,19,0.7893193244524579,4
2014,1996,18,0.6774006175808179,4
2014,1997,17,0.667711714476924,4
2014,1998,16,0.6397162848669536,4
2014,1999,15,0.6008949011382692,4
2014,2000,14,0.5776968141393101,4
2014,2001,13,0.5762189085462546,4
2014,2002,12,0.6936128977563343,4
2014,2003,11,0.7715082596005839,4
2014,2004,10,0.7329312427696439,4
2015,1970,45,-0.4825308352056224,3
2015,1971,44,-0.3916411993808509,4
2015,1972,43,-0.5008814107990558,4
2015,1973,42,-0.930349931933106,4
2015,1974,41,-1.8309708853512776,4
2015,1975,40,-0.2306031848532292,4
2015,1976,39,-0.44867557339194203,4
2015,1977,38,-0.013700844208103802,4
2015,1978,37,0.26748939934118,4
2015,1979,36,0.17669614623832153,4
2015,1980,35,-0.1512473819306367,4
2015,1981,34,0.2403911203350574,4
2015,1982,33,0.5172774175561177,4
2015,1983,32,0.5786887143366632,4
2015,1984,31,0.349624144374191,4
2015,1985,30,0.5167330912981436,4
2015,1986,29,0.5373612829129134,4
2015,1987,28,0.538551460976078,4
2015,1988,27,0.49441848295118285,4
2015,1989,26,0.38193808231328885,4
2015,1990,25,0.25189225787973923,4
2015,1991,24,0.6640875591758801,4
2015,1992,23,0.6982963783009497,4
2015,1993,22,0.7568447686626051,4
2015,1994,21,0.7966245677826733,4
2015,1995,20,0.8313605886540585,4
2015,1996,19,0.7350536799041243,4
2015,1997,18,0.6437378951783703,4
2015,1998,17,0.7622153680111464,4
2015,1999,16,0.7639153622114853,4
2015,2000,15,0.6163529674125754,4
2015,2001,14,0.6708256757168749,4
2015,2002,13,0.708863078726452,4
2015,2003,12,0.7239189139847189,4
2015,2004,11,0.6853418971537788,4
2015,2005,10,0.6969701398203973,4
2016,1971,45,-0.4073412383129224,4
2016,1972,44,-0.5165814497311272,4
2016,1973,43,-0.9460499708651773,4
2016,1974,42,-1.8379177998555847,4
2016,1975,41,-0.2463032237853007,4
2016,1976,40,-0.4643756123240135,4
2016,1977,39,-0.02195218869201762,4
2016,1978,38,0.24967706268624185,4
2016,1979,37,0.16099610730625002,4
2016,1980,36,-0.16694742086270814,4
2016,1981,35,0.22469108140298596,4
2016,1982,34,0.5305449750178162,4
2016,1983,33,0.5904557361821735,4
2016,1984,32,0.36139116621970124,4
2016,1985,31,0.528500113143654,4
2016,1986,30,0.48133461601513683,4
2016,1987,29,0.44703257117723244,4
2016,1988,28,0.4466857669821346,4
2016,1989,27,0.3662380433812173,4
2016,1990,26,0.23619221894766768,4
2016,1991,25,0.6498880558599969,4
2016,1992,24,0.782562679288219,4
2016,1993,23,0.8737184215161659,4
2016,1994,22,0.8574480193473275,4
2016,1995,21,0.7793204920118907,4
2016,1996,20,0.6674017851402507,4
2016,1997,19,0.6922252012086854,4
2016,1998,18,0.7267792945513465,4
2016,1999,17,0.6796490612242159,4
2016,2000,16,0.6254121796397489,4
2016,2001,15,0.6307936968462204,4
2016,2002,14,0.6329274321962677,4
2016,2003,13,0.7170563147161605,4
2016,2004,12,0.6784792978852204,4
2016,2005,11,0.690107540551839,4
2016,2006,10,0.6142868493909253,4
2017,1972,45,-0.5447122086388957,4
2017,1973,44,-0.9444167174903332,4
2017,1974,43,-1.852540348989446,4
2017,1975,42,-0.34452045968760414,4
2017,1976,41,-0.4627423589491695,4
2017,1977,40,-0.020318935317173575,4
2017,1978,39,0.06331581872596148,4
2017,1979,38,0.16262936068109407,4
2017,1980,37,-0.165314167487864,4
2017,1981,36,0.22632433477782998,4
2017,1982,35,0.4252144985446611,4
2017,1983,34,0.45825869766178323,4
2017,1984,33,0.34393714007114107,4
2017,1985,32,0.46012086950522096,4
2017,1986,31,0.3415674835518724,4
2017,1987,30,0.3090331236412073,4
2017,1988,29,0.38571189254718435,4
2017,1989,28,0.36787129675606145,4
2017,1990,27,0.23782547232251172,4
2017,1991,26,0.546821744542749,4
2017,1992,25,0.7677904401160782,4
2017,1993,24,0.7236895958038448,4
2017,1994,23,0.7641847530330819,4
2017,1995,22,0.7425870800488357,4
2017,1996,21,0.71739683493935,4
2017,1997,20,0.6657679613629959,4
2017,1998,19,0.5872346578659134,4
2017,1999,18,0.5343970248766144,4
2017,2000,17,0.6767638021754383,4
2017,2001,16,0.4820181359360156,4
2017,2002,15,0.6856511891668811,4
2017,2003,14,0.7989252612788222,4
2017,2004,13,0.7676748664098667,4
2017,2005,12,0.7752096746684944,4
2017,2006,11,0.7536347746094834,4
2017,2007,10,0.782757751161594,4
2018,1973,45,-0.9345500615303401,4
2018,1974,44,-1.825792667347336,4
2018,1975,43,-0.25465252797578364,4
2018,1976,42,-0.45287570298917623,4
2018,1977,41,-0.0449024911799103,4
2018,1978,40,0.12554820262898164,4
2018,1979,39,0.17249601664108732,4
2018,1980,38,-0.1554475115278709,4
2018,1981,37,0.21695241292960576,4
2018,1982,36,0.4838570140867202,4
2018,1983,35,0.5108990707390896,4
2018,1984,34,0.3184224974023845,4
2018,1985,33,0.48553144432633716,4
2018,1986,32,0.31166419662184364,4
2018,1987,31,0.2773621517839393,4
2018,1988,30,0.36374261573830147,4
2018,1989,29,0.3577737967803733,4
2018,1990,28,0.24769212828250498,4
2018,1991,27,0.6408455587135581,4
2018,1992,26,0.8384044130174096,4
2018,1993,25,0.7932109945632684,4
2018,1994,24,0.7505534825394645,4
2018,1995,23,0.7109161081915679,4
2018,1996,22,0.6075708473360191,4
2018,1997,21,0.6462554611589921,4
2018,1998,20,0.5839375679053477,4
2018,1999,19,0.5136049362367109,4
2018,2000,18,0.5669378145721073,4
2018,2001,17,0.48913909549576906,4
2018,2002,16,0.6056139192834424,4
2018,2003,15,0.7381717604011034,4
2018,2004,14,0.6713192717003813,4
