quarter,value,variable,country,unit,source_note
2004-Q2,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2004-Q3,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2004-Q4,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2005-Q1,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2005-Q2,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2005-Q3,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2005-Q4,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2006-Q1,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2006-Q2,0.1,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2006-Q3,0.4,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2006-Q4,0.4,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2007-Q1,0.6333,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2007-Q2,0.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2007-Q3,0.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2007-Q4,0.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2008-Q1,0.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2008-Q2,0.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2008-Q3,0.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2008-Q4,0.4333,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2009-Q1,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2009-Q2,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2009-Q3,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2009-Q4,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2010-Q1,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2010-Q2,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
2010-Q3,0.3,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
