quarter,value,variable,country,unit,source_note
2006-Q4,0.1541,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2007-Q1,-0.1161,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2007-Q2,-0.1156,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2007-Q3,-0.1154,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2007-Q4,0.3848,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2008-Q1,1.0074,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2008-Q2,1.4269,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2008-Q3,2.3874,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2008-Q4,1.0732,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2009-Q1,-0.0384,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2009-Q2,-0.9506,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2009-Q3,-2.3693,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2009-Q4,-1.7823,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2010-Q1,-0.921,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2010-Q2,-0.9981,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2010-Q3,-1.1941,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2010-Q4,-0.8108,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2011-Q1,-0.7746,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2011-Q2,-0.1939,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2011-Q3,0.1949,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2011-Q4,-0.1168,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2012-Q1,0.0781,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2012-Q2,-0.0389,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2012-Q3,-0.1946,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2012-Q4,-0.1169,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2013-Q1,-0.351,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2013-Q2,-0.0389,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2013-Q3,0.6628,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2013-Q4,1.1315,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
