quarter,value,source_note
2016-Q3,107.509,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2016-Q4,106.8089,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2017-Q1,110.8426,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2017-Q2,109.9092,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2017-Q3,110.1425,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2017-Q4,108.7424,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2018-Q1,112.5427,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2018-Q2,112.0093,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2018-Q3,112.1093,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2018-Q4,111.476,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2019-Q1,115.1429,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2019-Q2,114.1762,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2019-Q3,113.5095,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2019-Q4,112.5427,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2020-Q1,114.6429,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2020-Q2,113.3761,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2020-Q3,113.3761,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2020-Q4,114.3095,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2021-Q1,118.4765,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2021-Q2,119.5766,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2021-Q3,122.6102,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2021-Q4,122.1102,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2022-Q1,129.2108,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2022-Q2,130.5775,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2022-Q3,132.2444,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2022-Q4,131.3109,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2023-Q1,135.3446,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2023-Q2,134.8112,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2023-Q3,135.0779,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2023-Q4,133.9778,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2024-Q1,138.7116,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2024-Q2,138.5449,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2024-Q3,139.445,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2024-Q4,137.7115,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2025-Q1,145.2121,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2025-Q2,143.612,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2025-Q3,145.4788,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2025-Q4,144.6454,H6-B frozen h6b_q_residential_property_price.csv; country=jp
