quarter,value,source_note
2016-Q1,0.080392,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2016-Q2,0.067078,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2016-Q3,0.07261,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2016-Q4,0.057839,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2017-Q1,0.069216,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2017-Q2,0.051084,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2017-Q3,0.071473,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2017-Q4,0.058017,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2018-Q1,0.061249,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2018-Q2,0.044661,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2018-Q3,0.068316,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2018-Q4,0.064203,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2019-Q1,0.056814,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2019-Q2,0.055156,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2019-Q3,0.073388,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2019-Q4,0.064378,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2020-Q1,0.078202,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2020-Q2,0.094143,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2020-Q3,0.096762,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2020-Q4,0.062447,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2021-Q1,0.072992,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2021-Q2,0.053905,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2021-Q3,0.0734,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2021-Q4,0.055942,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2022-Q1,0.06014,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2022-Q2,0.044717,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2022-Q3,0.070853,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2022-Q4,0.066668,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2023-Q1,0.067711,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2023-Q2,0.051961,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2023-Q3,0.072513,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2023-Q4,0.075353,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2024-Q1,0.06915,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2024-Q2,0.051512,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2024-Q3,0.084963,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2024-Q4,0.070291,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2025-Q1,0.076177,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2025-Q2,0.061386,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2025-Q3,0.085376,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2025-Q4,0.086786,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2026-Q1,0.087188,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
