decision_month,feature,value,na_reason,reference_period_used,available_date_used,feature_regime,note
2013-03,m1_m2_gap,-5.7000,,,2013-03-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2013-02)
2013-04,ey,10.2564,,,2013-04-26,,100/PE_ttm
2013-04,eyg,6.8251,,,2013-04-26,,100/PE_ttm - cn10y
2013-04,term_spread,0.4648,,,2013-04-26,,cn10y - cn2y
2013-04,pmi_gap,0.9000,,,2013-04-20,,gro.pmi - 50
2013-04,m1_m2_gap,-3.8000,,,2013-04-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2013-03)
2013-05,ey,9.9502,,,2013-05-31,,100/PE_ttm
2013-05,eyg,6.5103,,,2013-05-31,,100/PE_ttm - cn10y
2013-05,term_spread,0.3945,,,2013-05-31,,cn10y - cn2y
2013-05,pmi_gap,0.6000,,,2013-05-20,,gro.pmi - 50
2013-05,m1_m2_gap,-4.2000,,,2013-05-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2013-04)
2013-06,ey,11.5207,,,2013-06-28,,100/PE_ttm
2013-06,eyg,8.0082,,,2013-06-28,,100/PE_ttm - cn10y
2013-06,term_spread,0.2933,,,2013-06-28,,cn10y - cn2y
2013-06,pmi_gap,0.8000,,,2013-06-20,,gro.pmi - 50
2013-06,m1_m2_gap,-4.5000,,,2013-06-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2013-05)
2013-07,ey,11.4155,,,2013-07-31,,100/PE_ttm
2013-07,eyg,7.6941,,,2013-07-31,,100/PE_ttm - cn10y
2013-07,term_spread,0.1845,,,2013-07-31,,cn10y - cn2y
2013-07,pmi_gap,0.1000,,,2013-07-20,,gro.pmi - 50
2013-07,m1_m2_gap,-4.9000,,,2013-07-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2013-06)
2013-08,ey,11.4155,,,2013-08-30,,100/PE_ttm
2013-08,eyg,7.3801,,,2013-08-30,,100/PE_ttm - cn10y
2013-08,term_spread,0.2346,,,2013-08-30,,cn10y - cn2y
2013-08,pmi_gap,0.3000,,,2013-08-20,,gro.pmi - 50
